# fault state: note that stresses are only those due to slip and do not include background stress
#    pos_1/W    pos_2/W       area        s_c    m_d*s_n           u_s           u_n           u_d           s_s           s_n           s_d pach#  grp#
 1.554e+00  4.856e-01  2.407e+00  1.290e+03  1.113e+01  9.031888e-01  0.000000e+00  1.003533e-01 -1.269115e+03  3.709451e+01 -9.469960e+01    54     0
 1.545e+00  4.115e-01  2.380e+00  1.273e+03  1.047e+01  8.753151e-01  0.000000e+00  1.015522e-01 -1.253840e+03  3.489202e+01 -1.120685e+02    55     0
 1.535e+00  3.372e-01  2.350e+00  1.255e+03  1.011e+01  8.366487e-01  0.000000e+00  1.027124e-01 -1.235981e+03  3.371344e+01 -1.286081e+02    56     0
 1.524e+00  2.628e-01  2.314e+00  1.234e+03  1.005e+01  7.909757e-01  0.000000e+00  1.036373e-01 -1.215630e+03  3.350382e+01 -1.442030e+02    57     0
 1.511e+00  1.885e-01  2.275e+00  1.212e+03  1.017e+01  7.410441e-01  0.000000e+00  1.041036e-01 -1.192892e+03  3.388970e+01 -1.587473e+02    58     0
 1.496e+00  1.141e-01  2.231e+00  1.187e+03  1.049e+01  6.889406e-01  0.000000e+00  1.039305e-01 -1.167884e+03  3.495580e+01 -1.721459e+02    59     0
 1.480e+00  3.996e-02  2.184e+00  1.161e+03  1.078e+01  6.362633e-01  0.000000e+00  1.030218e-01 -1.140731e+03  3.594522e+01 -1.843155e+02    60     0
 1.463e+00 -3.401e-02  2.133e+00  1.133e+03  1.116e+01  5.842711e-01  0.000000e+00  1.013425e-01 -1.111569e+03  3.721192e+01 -1.951848e+02    61     0
 1.444e+00 -1.077e-01  2.078e+00  1.102e+03  1.150e+01  5.338238e-01  0.000000e+00  9.891406e-02 -1.080542e+03  3.832286e+01 -2.046956e+02    62     0
 1.424e+00 -1.810e-01  2.020e+00  1.070e+03  1.183e+01  4.855943e-01  0.000000e+00  9.580361e-02 -1.047800e+03  3.941748e+01 -2.128029e+02    63     0
 1.402e+00 -2.539e-01  1.958e+00  1.037e+03  1.211e+01  4.399640e-01  0.000000e+00  9.209599e-02 -1.013499e+03  4.037165e+01 -2.194749e+02    64     0
 1.379e+00 -3.263e-01  1.894e+00  1.002e+03  1.234e+01  3.971647e-01  0.000000e+00  8.789329e-02 -9.778005e+02  4.112584e+01 -2.246933e+02    65     0
 1.354e+00 -3.982e-01  1.828e+00  9.651e+02  1.252e+01  3.573425e-01  0.000000e+00  8.330741e-02 -9.408698e+02  4.174584e+01 -2.284533e+02    66     0
 1.328e+00 -4.694e-01  1.759e+00  9.273e+02  1.263e+01  3.204652e-01  0.000000e+00  7.843283e-02 -9.028741e+02  4.209966e+01 -2.307631e+02    67     0
 1.301e+00 -5.398e-01  1.688e+00  8.886e+02  1.269e+01  2.864607e-01  0.000000e+00  7.335744e-02 -8.639830e+02  4.231407e+01 -2.316438e+02    68     0
 1.273e+00 -6.095e-01  1.615e+00  8.490e+02  1.270e+01  2.552165e-01  0.000000e+00  6.815880e-02 -8.243664e+02  4.234662e+01 -2.311286e+02    69     0
 1.243e+00 -6.784e-01  1.540e+00  8.087e+02  1.264e+01  2.265162e-01  0.000000e+00  6.287664e-02 -7.841945e+02  4.213358e+01 -2.292626e+02    70     0
 1.212e+00 -7.463e-01  1.465e+00  7.679e+02  1.255e+01  2.000876e-01  0.000000e+00  5.751253e-02 -7.436364e+02  4.182335e+01 -2.261017e+02    71     0
 1.180e+00 -8.132e-01  1.388e+00  7.269e+02  1.246e+01  1.754237e-01  0.000000e+00  5.196799e-02 -7.028599e+02  4.152662e+01 -2.217123e+02    72     0
 1.147e+00 -8.791e-01  1.311e+00  6.859e+02  1.235e+01  1.512052e-01  0.000000e+00  4.585861e-02 -6.620294e+02  4.118130e+01 -2.161700e+02    73     0
 1.112e+00 -9.439e-01  1.233e+00  6.450e+02  1.231e+01  1.214327e-01  0.000000e+00  3.737811e-02 -6.213072e+02  4.104910e+01 -2.095589e+02    74     0
 1.514e+00  7.949e-01  2.464e+00  1.182e+03  2.145e+01  6.341833e-01  0.000000e+00  3.920142e-02 -1.136729e+03  7.149929e+01 -1.567445e+01    75     0
 1.512e+00  7.221e-01  2.457e+00  1.175e+03  2.019e+01  8.122572e-01  0.000000e+00  5.908029e-02 -1.133064e+03  6.729181e+01 -3.123234e+01    76     0
